NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
26946|11|Bogotá, D.C.|11001|Bogotá, D.C.|1032|Elaboración de aceites y grasas de origen vegetal refinados|Agroalimentos|Bienes tecnología baja|188477791000,0|152646858000,0|Grande|No|No es sucursal de sociedad extranjera|4,65160848733744|No Mineras|Agroalimentos|Aceites y grasas|Otros aceites y grasas|1517100000|Margarina, excepto la margarina líquida.|76|Valle del Cauca|Si|22019193,21|9665830,504|7,413531525565387||Top|Agroalimentos
26947|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|10565338611,0|9207899964,0|Mediana|No|No es sucursal de sociedad extranjera|23,156741957563312|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|3923509000|Los demás tapones, tapas, cápsulas y demás dispositivos de cierre, de plástico.|11|Bogotá, D.C.|Si|34625,8|68075,276|0,8122440447179802|-18,514319990982187|Pymex|Metalmecánica y Otras Industrias
27018|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Agroalimentos
27021|25|Cundinamarca|25817|Tocancipá|7112|Actividades de ingeniería y otras actividades conexas de consultoría técnica|Metalmecánica y Otras Industrias|Servicios de mercado intensivos en conocimiento|9472975000,0|15539270000,0|Mediana|No|No es sucursal de sociedad extranjera|11,340177960301164|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Aparatos eléctricos|8538100000|Cuadros, paneles, consolas, pupitres, armarios y demás soportes de la partida 85.37, sin aparatos.|11|Bogotá, D.C.|Si|64394,4|22260,924||8,241837907772954|Futuros|Metalmecánica y Otras Industrias
27056|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|10,0||-100,0|Futuros|Agroalimentos
27060|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8460190000|Las demás máquinas de rectificar superficies planas en las que la posicion de la pieza en uno de los ejes pueda reglarse a 0.01 mm. o menos.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
27077|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Plástico y caucho (materiales de construcción)|3925100000|Depósitos, cisternas, cubas y recipientes análogos, de capacidad superior a 300 litros, de plástico.|05|Antioquia|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
27080|76|Valle del Cauca|76001|Santiago De Cali|3290|Otras industrias manufactureras n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología baja|1318405316,0|2746014711,0|Pequeña|No|No es sucursal de sociedad extranjera|13,908281998631075|No Mineras|Químicos y Ciencias de la Vida|Químico|Pastas para moldear y demás preparaciones para odontología|3407001000|Pastas para moldear, incluidas las presentadas para entretenimiento de los niños.|76|Valle del Cauca|Si|3325,6|11803,402|-52,66009389404039|-48,87185439260991|No Constante|Químicos y Ciencias de la Vida
27085|25|Cundinamarca|25513|Pacho|125|Cultivo de flor de corte|Agroalimentos|Bienes primarios|100010000,0|100010000,0|Micro|No|No es sucursal de sociedad extranjera|4,815879534565366|No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603110000|Rosas frescas, cortadas para ramos o adornos.|25|Cundinamarca|Si|5160,0|8423,4||54,73971692735287|No Constante|Agroalimentos
27095|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703239090|Los demás vehículos para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 1.500 cm3 pero inferior o igual a 3.000 cm3.|11|Bogotá, D.C.|No|481,0|96,2|||Futuros|Metalmecánica y Otras Industrias
