NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
9144|86|Putumayo|86568|Puerto Asís|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|41610851540,0|45441996606,0|Grande|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
9158|76|Valle del Cauca|76892|Yumbo|1011|Procesamiento y conservación de carne y productos cárnicos|Agroalimentos|Bienes tecnología baja|2390816106000,0|2216673965000,0|Grande|No|No es sucursal de sociedad extranjera|54,338124572210816|No Mineras|Agroalimentos|Bovino|Carnes y despojos comestibles (bovino)|0201300090|Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada. |05|Antioquia|Si|9231024,69|14970476,138|-42,54479187735583|-13,329829311476738|Top|Agroalimentos
9175|19|Cauca|19845|Villa Rica|2392|Fabricación de materiales de arcilla para la construcción|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|9921247000,0|17627960000,0|Mediana|No|No es sucursal de sociedad extranjera|21,22655715263518|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
9182|25|Cundinamarca|25290|Fusagasugá|4111|Construcción de edificios residenciales|Metalmecánica y Otras Industrias|Servicios no clasificados|49498017000,0|20734155000,0|Mediana|No|No es sucursal de sociedad extranjera|13,494866529774129|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
9184|11|Bogotá, D.C.|11001|Bogotá, D.C.|4653|Comercio al por mayor de maquinaria y equipo agropecuarios|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|20233814000,0|58337792000,0|Mediana|No|No es sucursal de sociedad extranjera|33,68104038329911|No Mineras|Metalmecánica y Otras Industrias|Autopartes|Llantas neumáticas|4011700000|Neumáticos (llantas neumáticas) nuevos de caucho de los tipos utilizados en vehículos y máquinas agrícolas y forestales.|11|Bogotá, D.C.|Si|0,0|2836,232||-100,0|Futuros|Metalmecánica y Otras Industrias
9214|11|Bogotá, D.C.|11001|Bogotá, D.C.|4511|Comercio de vehículos automotores nuevos|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|17697024000,0|21762336000,0|Mediana|No|No es sucursal de sociedad extranjera|34,23956194387406|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
9225|25|Cundinamarca|25307|Girardot|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|25225762764,0|59096396375,0|Grande|No|No es sucursal de sociedad extranjera|4,818617385352498|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
9261|17|Caldas|17001|Manizales|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|11959111000,0|12323108000,0|Mediana|No|No es sucursal de sociedad extranjera|9,623545516769337|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
9298|76|Valle del Cauca|76001|Santiago De Cali|145|Cría de aves de corral|Agroalimentos|Bienes primarios|10151069000,0|17777657000,0|Mediana|No|No es sucursal de sociedad extranjera|39,08555783709788|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
9499|41|Huila|41551|Pitalito|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|144675948243,0|126958576360,0|Grande|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
9565|5|Antioquia|5001|Medellín|4530|Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|12811558000,0|26258711000,0|Mediana|No|No es sucursal de sociedad extranjera|25,66735112936345|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
9735|5|Antioquia|5001|Medellín|8691|Actividades de apoyo diagnóstico|Industrias 4.0|Otros servicios intensivos en conocimiento|10329753038,0|16532022270,0|Mediana|No|No es sucursal de sociedad extranjera|44,52566735112936|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
9746|11|Bogotá, D.C.|11001|Bogotá, D.C.|2029|Fabricación de otros productos químicos n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|232972631000,0|212454699000,0|Grande|No|No es sucursal de sociedad extranjera|35,115674195756334|No Mineras|Químicos y Ciencias de la Vida|Químico|Aceites esenciales y resinoides|3302900000|Las demás mezclas de sustancias odoriferas y mezclas (incluidas las disoluciones alcohólicas) a base de una o varias de estas sustancias, del tipo de las utilizadas como materias básicas para la industria.|11|Bogotá, D.C.|Si|14757284,6|11661552,978|17,962669849119873|7,370948925656151|Top|Químicos y Ciencias de la Vida
9767|25|Cundinamarca|25175|Chía|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|8373282000,0|12344647000,0|Mediana|No|No es sucursal de sociedad extranjera|28,39151266255989|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
9804|76|Valle del Cauca|76892|Yumbo|4541|Comercio de motocicletas y de sus partes, piezas y accesorios|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|21181577000,0|29655251000,0|Mediana|No|No es sucursal de sociedad extranjera|18,272416153319643|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
9844|5|Antioquia|5360|Itagüí|4642|Comercio al por mayor de prendas de vestir|Sistema Moda|Servicios menos intensivos en conocimiento|18566921000,0|22937430000,0|Mediana|No|No es sucursal de sociedad extranjera|17,253935660506503|No Mineras|Sistema Moda|Textiles y confecciones|Jeans|6204620000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de algodón, para mujeres o niñas, excepto los de punto."|05|Antioquia|Si|746395,0|624915,12|18,974637064354493|29,7916895603308|Pymex|Sistema Moda
9882|11|Bogotá, D.C.|11001|Bogotá, D.C.|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|49461047000,0|56494836000,0|Mediana|No|No es sucursal de sociedad extranjera|9,27857631759069|No Mineras|Químicos y Ciencias de la Vida|Farmacéutico|Productos farmacéuticos|3004902900|Los demás medicamentos para uso humano.|11|Bogotá, D.C.|Si|282702,88|175143,492|113,14679346271043|7,587731945060194|Pymex|Químicos y Ciencias de la Vida
9965|76|Valle del Cauca|76892|Yumbo|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|113757001000,0|76835193000,0|Grande|No|No es sucursal de sociedad extranjera|7,252566735112937|No Mineras|Químicos y Ciencias de la Vida|Materiales de construcción|Plástico y caucho (materiales de construcción)|3917239000|Los demás tubos rigidos polímeros de cloruro de vinilo.|76|Valle del Cauca|Si|7079825,7|2107844,476|493,3094019278908|59,61466077008806|Top|Químicos y Ciencias de la Vida
9996|11|Bogotá, D.C.|11001|Bogotá, D.C.|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|30518515000,0|43494918000,0|Mediana|No|No es sucursal de sociedad extranjera|21,23750855578371|No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Acabados para la construcción|8481801000|Canillas o grifos para uso doméstico.|11|Bogotá, D.C.|Si|387090,57|281923,704|7,595854787476197|9,747512959931235|Pymex|Metalmecánica y Otras Industrias
