NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
75|11|Bogotá, D.C.|11001|Bogotá, D.C.|5911|Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|72581228000,0|52742792000,0|Grande|No|No es sucursal de sociedad extranjera|27,89869952087611|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Telecomunicaciones y sonido|8525602000|Aparatos emisores con aparato receptor incorporado, de televisión.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Industrias 4.0
137|11|Bogotá, D.C.|11001|Bogotá, D.C.|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|121035748000,0|13109575000,0|Mediana|No|No es sucursal de sociedad extranjera|9,653661875427789|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Madera (muebles y maderas)|4407299000|Las demás maderas tropicales de espesor superior a 6 mm|11|Bogotá, D.C.|No|0,0|104,54|||No Constante|Agroalimentos
191|17|Caldas|17001|Manizales|4632|Comercio al por mayor de bebidas y tabaco|Agroalimentos|Servicios menos intensivos en conocimiento|66283524000,0|89371711000,0|Grande|No|No es sucursal de sociedad extranjera|34,03148528405202|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
233|76|Valle del Cauca|76001|Santiago De Cali|4390|Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil|Metalmecánica y Otras Industrias|Servicios no clasificados|67615631000,0|17890349000,0|Mediana|No|No es sucursal de sociedad extranjera|12,539356605065024|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
280|11|Bogotá, D.C.|11001|Bogotá, D.C.|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|36767955000,0|118808046000,0|Grande|No|No es sucursal de sociedad extranjera|13,579739904175222|No Mineras|Industrias 4.0|Bpo|Bpo|Bpo|Bpo|11|Bogotá, D.C.|Si|5000,0|17666,197999999997|-93,99983127525546||No Constante|Industrias 4.0
338|11|Bogotá, D.C.|11001|Bogotá, D.C.|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|7051367000,0|14570984000,0|Mediana|No|No es sucursal de sociedad extranjera|25,09240246406571|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
355|8|Atlántico|8001|Barranquilla|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|62141298000,0|87914931000,0|Grande|No|No es sucursal de sociedad extranjera|25,232032854209447|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819400000|Los demás sacos (bolsas); bolsitas y cucuruchos, de papel, cartón, guata de celulosa o napas de fibras de celulosa.|08|Atlántico|Si|13131086,07|5270005,68|34,57301335756971|323,6478482532896|Top|Químicos y Ciencias de la Vida
493|11|Bogotá, D.C.|11001|Bogotá, D.C.|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|167653302000,0|210548054000,0|Grande|No|No es sucursal de sociedad extranjera|50,70225872689939|No Mineras|Químicos y Ciencias de la Vida|Dotación Hospitalaria|Instrumentos, aparatos y prótesis|9018909000|Los demás instrumentos y aparatos de medicina y cirugía, odontología, o veterinaria no incluidos antes|11|Bogotá, D.C.|Si|499297,21|718734,226|30,823018681123138|1,2238944566828946|Pymex|Químicos y Ciencias de la Vida
559|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|11570101000,0|15881388000,0|Pequeña|No|No es sucursal de sociedad extranjera|28,56399726214921|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8414802100|Los demás compresores  de potencia inferior a 30 kw (40 hp), para vehículos automóviles.|52|Nariño|Si|0,0|525,292|||Futuros|Metalmecánica y Otras Industrias
651|17|Caldas|17001|Manizales|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|20674392000,0|30237394000,0|Mediana|No|No es sucursal de sociedad extranjera|30,22861054072553|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8418999090|Las demas partes de refrigeradores, congeladores y demas material, aunque no sean eléctricos; bombas de calor, exepto las maquinas y aparatos para acondicionamiento de aire de la partida 84.15|17|Caldas|Si|385947,79|77189,55799999999|||Futuros|Metalmecánica y Otras Industrias
800|11|Bogotá, D.C.|11001|Bogotá, D.C.|4632|Comercio al por mayor de bebidas y tabaco|Agroalimentos|Servicios menos intensivos en conocimiento|20674000000,0|32408000000,0|Mediana|No|No es sucursal de sociedad extranjera|13,32785763175907|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
803|5|Antioquia|5360|Itagüí|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja|505833561000,0|104870040000,0|Grande|No|No es sucursal de sociedad extranjera|22,55167693360712|No Mineras|Sistema Moda|Textiles y confecciones|Telas y tejidos|5407200000|Tejidos de hilados de filamentos sintéticos fabricados con tiras o formas similares.|05|Antioquia|Si|16619760,71|15291293,613999998|-8,709482153316038|2,776386146509635|Top|Sistema Moda
933|25|Cundinamarca|25817|Tocancipá|7730|Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|63767100000,0|28192881000,0|Grande|No|No es sucursal de sociedad extranjera|10,97056810403833|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Manufacturas de hierro o acero|7308400000|Material de andamiaje, encofrado, apeo o apuntalamiento.|11|Bogotá, D.C.|Si|431259,68|579720,0319999999|-43,38738324295493|60,980169344236046|Pymex|Metalmecánica y Otras Industrias
952|5|Antioquia|5266|Envigado|4530|Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|9494294000,0|12101389000,0|Pequeña|No|No es sucursal de sociedad extranjera|10,524298425735797|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
1143|5|Antioquia|5360|Itagüí|2023|Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|24790406000,0|35570563000,0|Mediana|No|No es sucursal de sociedad extranjera|5,544147843942505|No Mineras|Químicos y Ciencias de la Vida|Cosméticos y productos de aseo|Otros productos de aseo|3401191000|Jabones y  preparaciones orgánicos tensoactivos, en barras, panes o trozos, o en piezas troqueladas o moldeadas.|05|Antioquia|Si|1514841,4700000002|954323,916|82,60281689801292|33,151054342187216|Pymex|Químicos y Ciencias de la Vida
1201|5|Antioquia|5001|Medellín|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|5494173884,0|23114370808,000004|Grande|No|No es sucursal de sociedad extranjera|5,138945927446954|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
1216|11|Bogotá, D.C.|11001|Bogotá, D.C.|5820|Edición de programas de informática (software)|Industrias 4.0|Otros servicios intensivos en conocimiento|21846270000,0|50878792000,0|Grande|No|No es sucursal de sociedad extranjera|15,260780287474333|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
1349|13|Bolívar|13001|Cartagena De Indias|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|122435502722,0|162912441328,0|Grande|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
1403|76|Valle del Cauca|76001|Santiago De Cali|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|12972245000,0|17343335000,0|Mediana|No|No es sucursal de sociedad extranjera|17,982203969883642|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Químicos y Ciencias de la Vida
1529|11|Bogotá, D.C.|11001|Bogotá, D.C.|2100|Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico|Químicos y Ciencias de la Vida|Bienes tecnología alta|9118312000,0|12854922000,0|Mediana|No|No es sucursal de sociedad extranjera|32,2984257357974|No Mineras|Químicos y Ciencias de la Vida|Farmacéutico|Productos farmacéuticos veterinarios|3004903000|Los demás medicamentos para uso veterinario (con exclusión de las partidas 30.02-30.05 o 30.06) constituidos por productos mezclados o sin mezclar, preparados para usos terapéuticos o profilácticos, dosificados o acondicionados para la venta al por menor.|11|Bogotá, D.C.|Si|195386,59|199721,414|53,66489583376752|-10,706021421139711|Pymex|Químicos y Ciencias de la Vida
1674|76|Valle del Cauca|76892|Yumbo|144|Cría de ganado porcino|Agroalimentos|Bienes primarios|31778090000,0|28933479000,0|Mediana|No|No es sucursal de sociedad extranjera|10,108145106091715|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
1694|5|Antioquia|5001|Medellín|6201|Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|20367188000,0|12846519000,0|Mediana|No|No es sucursal de sociedad extranjera|31,173169062286107|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Telecomunicaciones y sonido|8523499000|Los demás soportes ópticos grabados, excepto  los productos del capitulo 37|05|Antioquia|Si|0,0|0,0|||Futuros|Industrias 4.0
1708|25|Cundinamarca|25758|Sopó|2392|Fabricación de materiales de arcilla para la construcción|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|263465154000,0|314435658000,0|Grande|No|No es sucursal de sociedad extranjera|10,688569472963724|No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Acabados para la construcción|6907220000|Placas y baldosas, de cerámica, para pavimentación o revestimiento, excepto las de las subpartidas 6907.30 y 6907.40 con un coeficiente de absorción de agua superior al  0,5% pero inferior o igual al 10% en peso.|11|Bogotá, D.C.|Si|74911,0|113008,22999999998|||Futuros|Metalmecánica y Otras Industrias
1737|11|Bogotá, D.C.|11001|Bogotá, D.C.|2819|Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-alta|24290801000,0|17368330000,0|Mediana|No|No es sucursal de sociedad extranjera|48,114989733059545|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8428109000|Los demás ascensores y montacargas.|11|Bogotá, D.C.|Si|76342,0|94719,006|109,98540537894029|-17,44102120007629|Pymex|Metalmecánica y Otras Industrias
1846|25|Cundinamarca|25214|Cota|1089|Elaboración de otros productos alimenticios n.c.p.|Agroalimentos|Bienes tecnología baja|87264063000,0|16937168000,0|Mediana|No|No es sucursal de sociedad extranjera|4,353182751540041|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
1867|66|Risaralda|66001|Pereira|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|1921989181000,0|2929908679000,0|Grande|No|No es sucursal de sociedad extranjera|26,33538672142368|No Mineras|Químicos y Ciencias de la Vida|Farmacéutico|Productos farmacéuticos|3004902900|Los demás medicamentos para uso humano.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
1917|41|Huila|41001|Neiva|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|63994023930,0|50385726235,0|Grande|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
2025|11|Bogotá, D.C.|11001|Bogotá, D.C.|6190|Otras actividades de telecomunicaciones|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|416437000000,0|156234000000,0|Grande|No|No es sucursal de sociedad extranjera|10,354551676933609|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|8471700000|Unidades de memoria.|11|Bogotá, D.C.|No|0,0|914,0|-100,0||No Constante|Industrias 4.0
2060|76|Valle del Cauca|76001|Santiago De Cali|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|1145508144000,0|80934403000,0|Grande|No|No es sucursal de sociedad extranjera|43,12662559890486|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
2068|11|Bogotá, D.C.|11001|Bogotá, D.C.|7820|Actividades de empresas de servicios temporales|Industrias 4.0|Servicios de mercado intensivos en conocimiento|6139481000,0|27303090000,0|Grande|No|No es sucursal de sociedad extranjera|42,38740588637919|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
2072|8|Atlántico|8001|Barranquilla|4511|Comercio de vehículos automotores nuevos|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|40569119000,0|103341081000,0|Grande|No|No es sucursal de sociedad extranjera|22,340862422997947|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
2084|25|Cundinamarca|25214|Cota|2829|Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-alta|9340808000,0|13304742000,0|Mediana|No|No es sucursal de sociedad extranjera|20,281998631074607|No Mineras|Metalmecánica y Otras Industrias|Autopartes|Motores y sus partes|8501322100|Los demás motores de corriente continua de potencia inferior o igual a 7.5 kw.|11|Bogotá, D.C.|Si|23277,47|15703,254|6,563281114091879|-7,058151840487903|No Constante|Metalmecánica y Otras Industrias
2113|47|Magdalena|47001|Santa Marta|1030|Elaboración de aceites y grasas de origen vegetal y animal|Agroalimentos|Bienes tecnología baja|94506210000,0|132684290000,0|Grande|No|No es sucursal de sociedad extranjera|14,789869952087612|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
2132|11|Bogotá, D.C.|11001|Bogotá, D.C.|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|35019759000,0|28692660000,0|Grande|No|No es sucursal de sociedad extranjera|12,88432580424367|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
2222|66|Risaralda|66001|Pereira|4321|Instalaciones eléctricas|Metalmecánica y Otras Industrias|Servicios no clasificados|43084110000,0|18223908000,0|Mediana|No|No es sucursal de sociedad extranjera|15,627652292950032|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Aparatos eléctricos|8537200000|Cuadros, paneles, consolas, armarios y demás soportes equipados con varios aparatos de las partidas 85.35 u 85.36, para una tensión superior a 1000 v, para control o distrib. de electricidad, incluidos los que incorporen instr. del cap. 90, exc. aparatos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
2308|76|Valle del Cauca|76001|Santiago De Cali|4632|Comercio al por mayor de bebidas y tabaco|Agroalimentos|Servicios menos intensivos en conocimiento|9052365000,0|27533622000,0|Mediana|No|No es sucursal de sociedad extranjera|11,471594798083505|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
2323|68|Santander|68081|Barrancabermeja|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|14823579937,0|12675291229,0|Mediana|No|No es sucursal de sociedad extranjera|27,66324435318275|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
2329|11|Bogotá, D.C.|11001|Bogotá, D.C.|2029|Fabricación de otros productos químicos n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|44717847000,0|28331184000,0|Mediana|No|No es sucursal de sociedad extranjera|39,77275838466804|No Mineras|Químicos y Ciencias de la Vida|Químico|Aceites esenciales y resinoides|3302109000|Las demás mezclas de sustancias odoríferas, del tipo de las utilizadas en las industrias alimentarias o de bebidas|11|Bogotá, D.C.|Si|424293,35|389577,71|-1,9960300725148428|0,9183546081374728|Pymex|Químicos y Ciencias de la Vida
2415|66|Risaralda|66170|Dosquebradas|1081|Elaboración de productos de panadería|Agroalimentos|Bienes tecnología baja|59784814000,0|56788770000,0|Mediana|No|No es sucursal de sociedad extranjera|18,86652977412731|No Mineras|Agroalimentos|Agroindustrial|Productos de panadería y molinería|1905901000|Galletas saladas o aromatizadas incluso con adición de cacao.|66|Risaralda|Si|2618810,39|587197,78|2093,533766532477|103,22718239349662|Pymex|Agroalimentos
2441|23|Córdoba|23189|Ciénaga De Oro|1011|Procesamiento y conservación de carne y productos cárnicos|Agroalimentos|Bienes tecnología baja|494841972000,0|1238732216000,0|Grande|No|No es sucursal de sociedad extranjera|12,736481861738536|No Mineras|Agroalimentos|Bovino|Carnes y despojos comestibles (bovino)|0202300093|Cortes de cuartos delanteros de las demás carnes de animales de la especie bovina, congelada, deshuesada. |23|Córdoba|Si|177462818,18|119989759,818|-22,3299046328011|34,91017698033436|Top|Agroalimentos
2465|17|Caldas|17001|Manizales|2593|Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|66660529000,0|127036367000,0|Grande|No|No es sucursal de sociedad extranjera|35,879534565366185|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Herramientas|8201401000|Machetes, de metales comunes.|17|Caldas|Si|18522861,53|15061023,71|4,535008516009853|7,867200746021941|Top|Metalmecánica y Otras Industrias
2472|11|Bogotá, D.C.|11001|Bogotá, D.C.|125|Cultivo de flor de corte|Agroalimentos|Bienes primarios|41301658000,0|35291858000,0|Mediana|No|No es sucursal de sociedad extranjera|28,867898699520875|No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603129000|Los demás claveles frescos, cortados para ramos o adornos.|11|Bogotá, D.C.|Si|9146783,32|8170291,004000001|2,6365571683445443|5,122405418935716|Top|Agroalimentos
2516|66|Risaralda|66001|Pereira|4620|Comercio al por mayor de materias primas agropecuarias; animales vivos|Agroalimentos|Servicios menos intensivos en conocimiento|19962118000,0|47525372000,0|Mediana|No|No es sucursal de sociedad extranjera|12,180698151950718|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|66|Risaralda|Si|4973994,27|8341307,717999999|-54,53050560714517|-18,002161063706968|Pymex|Agroalimentos
2538|25|Cundinamarca|25214|Cota|4651|Comercio al por mayor de computadores, equipo periférico y programas de informática|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|26238720000,0|44213864000,0|Mediana|No|No es sucursal de sociedad extranjera|30,888432580424368|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|8443321900|Las demás impresoras, aptas para ser conectadas a una máquina automática para tratamiento o procesamiento de datos o a una red.|11|Bogotá, D.C.|Si|172855,16999999998|71709,506|222,99699734827115|42,914474226194585|Pymex|Metalmecánica y Otras Industrias
2545|11|Bogotá, D.C.|11001|Bogotá, D.C.|7820|Actividades de empresas de servicios temporales|Industrias 4.0|Servicios de mercado intensivos en conocimiento|14244013000,0|207005061000,0|Grande|No|No es sucursal de sociedad extranjera|11,739904175222453|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
2614|20|Cesar|20001|Valledupar|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|116347064279,0|80060020809,0|Grande|No|No es sucursal de sociedad extranjera|26,2258726899384|No Mineras|Químicos y Ciencias de la Vida|Químico|Productos químicos inorgánicos|2844409000|Los demás elementos e isótopos y compuestos radiactivos, excepto los de las partidas 28.44.10.00,28.44.20.00 y 28.44.30.00. aleaciones, dispersiones, productos cerámicos y mezclas, que contengan estos elementos, isótopos o compuestos.|11|Bogotá, D.C.|No|100,0|40,0|100,0||No Constante|Industrias 4.0
2687|11|Bogotá, D.C.|11001|Bogotá, D.C.|125|Cultivo de flor de corte|Agroalimentos|Bienes primarios|11170851000,0|12979601000,0|Mediana|No|No es sucursal de sociedad extranjera|25,322381930184804|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
2735|5|Antioquia|5001|Medellín|4773|Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|48602330000,0|118589266000,0|Grande|No|No es sucursal de sociedad extranjera|18,272416153319643|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Químicos y Ciencias de la Vida
2763|47|Magdalena|47745|Sitionuevo|2429|Industrias básicas de otros metales no ferrosos|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|178441402000,0|41731606000,0|Mediana|No|No es sucursal de sociedad extranjera|2,4969199178644765|Mineras|Mineras|Oro, otros metales y piedras preciosas|Metales preciosos|7108120000|Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.|47|Magdalena|No|0,0|5048181,584000001|-100,0|-100,0|Mineras, chatarra, otros|Metalmecánica y Otras Industrias
2788|54|Norte de Santander|54001|San José De Cúcuta|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|57562066000,0|92275533000,0|Grande|No|No es sucursal de sociedad extranjera|18,25325119780972|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
2819|5|Antioquia|5001|Medellín|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|324855702000,0|572842770000,0|Grande|No|No es sucursal de sociedad extranjera|14,877481177275838|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
3079|11|Bogotá, D.C.|11001|Bogotá, D.C.|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|14050153000,0|14905419000,0|Mediana|No|No es sucursal de sociedad extranjera|38,6694045174538|No Mineras|Sistema Moda|Textiles y confecciones|Fajas y ropa de control|6212200000|Fajas y fajas-braga (fajas bombacha), incluso de punto.|05|Antioquia|Si|2935878,6|1672349,492|-5,14416147380018|49,85655925093874|Pymex|Sistema Moda
3109|47|Magdalena|47001|Santa Marta|126|Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos|Agroalimentos|Bienes primarios|35853744000,0|17030625000,0|Mediana|No|No es sucursal de sociedad extranjera|25,36071184120465|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
3164|5|Antioquia|5001|Medellín|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|2939080731,0|20287553375,0|Grande|No|No es sucursal de sociedad extranjera|22,54346338124572|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
3372|73|Tolima|73408|Lérida|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|20625378656,0|15817448077,0|Mediana|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
